,cluster,names,president,x_vals,y_vales
281,1,Speech_281,Franklin Delano Roosevelt,0.26533874669442137,-0.255114826835031
282,1,Speech_282,Franklin Delano Roosevelt,-0.12400963449630933,0.24554465904997702
283,3,Speech_283,Franklin Delano Roosevelt,-0.20775491666442933,0.2653898674168291
284,1,Speech_284,Franklin Delano Roosevelt,-0.14512699445795402,-0.20925073594266327
285,1,Speech_285,Franklin Delano Roosevelt,-0.27265066208289584,-0.12913308497928352
286,3,Speech_286,Harry S. Truman,-0.15503550571753352,0.2728898380816329
287,3,Speech_287,Harry S. Truman,-0.299057146048306,0.2543837633084667
288,1,Speech_288,Harry S. Truman,-0.053560078683681525,-0.14048887939795654
289,1,Speech_289,Harry S. Truman,-0.04856707149416471,-0.18081302751118733
290,3,Speech_290,Harry S. Truman,-0.29905714604831596,0.254383763308476
291,1,Speech_291,Harry S. Truman,-0.1550355057175291,0.2728898380816277
292,1,Speech_292,Harry S. Truman,0.0335091562682449,-0.2030575907351793
293,8,Speech_293,Harry S. Truman,0.21569207600354082,-0.1963916189538868
294,3,Speech_294,Harry S. Truman,0.059886400930315865,0.24430037141341573
295,2,Speech_295,Harry S. Truman,0.24556010693618938,-0.006165084951277912
296,2,Speech_296,Harry S. Truman,0.5114223717225955,0.2044433317279827
297,3,Speech_297,Harry S. Truman,0.35423095010515304,0.4787304567934645
298,1,Speech_298,Harry S. Truman,-0.17495461536722004,0.24541581545494356
299,1,Speech_299,Harry S. Truman,-0.08664871508433081,0.6017132682882145
300,3,Speech_300,Harry S. Truman,-0.04105905763427712,-0.1395171045673358
301,2,Speech_301,Harry S. Truman,0.47265965542980515,0.1896063316467636
302,2,Speech_302,Richard Milhous Nixon,0.43806140137085653,0.04353236133924693
303,2,Speech_303,Harry S. Truman,0.5114222717511693,0.2044436930301011
304,2,Speech_304,Harry S. Truman,0.142670287774946,0.36651806835203216
305,1,Speech_305,Dwight David Eisenhower,-0.11570859326448846,0.1502757328426187
306,7,Speech_306,Dwight David Eisenhower,-0.15503550571752459,0.2728898380816195
307,1,Speech_307,Dwight David Eisenhower,-0.18716200977572675,0.03940840594545221
308,3,Speech_308,Dwight David Eisenhower,0.06558537153602574,0.1200018442458765
309,7,Speech_309,Dwight David Eisenhower,-0.2972671827013644,-0.22940878494814518
310,3,Speech_310,John Fitzgerald Kennedy,0.18731420123901,0.14430972487061736
311,4,Speech_311,John Fitzgerald Kennedy,-0.3395232283664606,0.08633843766470496
312,2,Speech_312,John Fitzgerald Kennedy,0.4770639573833485,0.25238655960120543
313,2,Speech_313,John Fitzgerald Kennedy,0.6463726059888222,-0.026355191117588807
314,2,Speech_314,John Fitzgerald Kennedy,-0.08664856212584514,0.6017132941309109
315,2,Speech_315,John Fitzgerald Kennedy,0.3560649970060182,0.2831119557855892
316,3,Speech_316,John Fitzgerald Kennedy,-0.35719845892158725,0.23241148410201645
317,1,Speech_317,Dwight David Eisenhower,0.06558537153602824,0.12000184424588003
318,3,Speech_318,John Fitzgerald Kennedy,-0.2077549166644331,0.26538986741683396
319,5,Speech_319,John Fitzgerald Kennedy,0.1653232478622075,-0.16077826917713836
320,3,Speech_320,John Fitzgerald Kennedy,-0.1749546153672142,0.2454158154549396
321,1,Speech_321,John Fitzgerald Kennedy,0.4567964359804429,0.11581033124443889
322,1,Speech_322,John Fitzgerald Kennedy,0.25600547117338657,0.3962847664277319
323,1,Speech_323,John Fitzgerald Kennedy,-0.030709107340507573,0.47243633964376114
324,1,Speech_324,John Fitzgerald Kennedy,-0.09782774176992048,-0.027633227149666987
325,3,Speech_325,John Fitzgerald Kennedy,-0.3571984589215918,0.23241148410202006
326,1,Speech_326,John Fitzgerald Kennedy,-0.15503550571752672,0.2728898380816245
327,1,Speech_327,John Fitzgerald Kennedy,0.0074050798359119145,-0.16410281746440664
328,1,Speech_328,John Fitzgerald Kennedy,-0.168859793345411,0.0015256427866695377
329,3,Speech_329,John Fitzgerald Kennedy,-0.1550355057175326,0.2728898380816348
330,1,Speech_330,John Fitzgerald Kennedy,0.26909544996605744,0.3023317280856599
331,7,Speech_331,John Fitzgerald Kennedy,-0.11570859326448427,0.15027573284261442
332,1,Speech_332,John Fitzgerald Kennedy,-0.12400963449631612,0.2455446590499878
333,3,Speech_333,John Fitzgerald Kennedy,-0.03070910734051048,0.4724363396438014
334,1,Speech_334,John Fitzgerald Kennedy,-0.12400963449630616,0.24554465904997202
